종목명,종목코드,연도,분기,기간,보고서유형,재무기준,매출액(억원),영업이익(억원),당기순이익(억원),매출액_단독(억원),영업이익_단독(억원),당기순이익_단독(억원)
엔케이,85310,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),173.3,18.9,-7.1,173.3,18.9,-7.1
엔케이,85310,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),174,4.5,40,174,4.5,40
엔케이,85310,2021,FY,2021-FY_누적,사업보고서(FY누적),연결(CFS),690.9,19.3,111.6,192.2,23.8,82.1
엔케이,85310,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),154.9,-17.2,-10.1,154.9,-17.2,-10.1
엔케이,85310,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),171.6,-15.5,10,171.6,-15.5,10
엔케이,85310,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),184.5,1.7,26.5,184.5,1.7,26.5
엔케이,85310,2022,FY,2022-FY_누적,사업보고서(FY누적),연결(CFS),766.9,8.7,106.8,255.9,39.7,80.4
엔케이,85310,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),263,20.7,21.8,263,20.7,21.8
엔케이,85310,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),249.8,18,9.3,249.8,18,9.3
엔케이,85310,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),173.5,-20.2,48.2,173.5,-20.2,48.2
엔케이,85310,2023,FY,2023-FY_누적,사업보고서(FY누적),연결(CFS),915.4,-11,591.6,229.1,-29.5,512.3
엔케이,85310,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),255.3,-0.2,21.8,255.3,-0.2,21.8
엔케이,85310,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),255.7,-20.3,-41.3,255.7,-20.3,-41.3
엔케이,85310,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),238.5,-13.4,-27,238.5,-13.4,-27
엔케이,85310,2024,FY,2024-FY_누적,사업보고서(FY누적),연결(CFS),1109.4,-48.2,-22.4,359.9,-14.3,24.1
엔케이,85310,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),239.4,-9.6,-3.6,239.4,-9.6,-3.6
엔케이,85310,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),285.6,3.4,-16.8,285.6,3.4,-16.8
엔케이,85310,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),285.6,-50.2,-28.6,285.6,-50.2,-28.6
엔케이,85310,2025,FY,2025-FY_누적,사업보고서(FY누적),연결(CFS),1301,-6.5,-36.9,490.4,49.9,12.1
엔케이,85310,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),319.1,5.3,29.2,319.1,5.3,29.2
미래에셋생명,085620,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독)
미래에셋생명,085620,2021,Q2,2021-Q2_단독,반기보고서(Q2단독)
미래에셋생명,085620,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독)
미래에셋생명,085620,2021,Q4,2021-FY_누적,사업보고서(FY누적)
미래에셋생명,085620,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독)
미래에셋생명,085620,2022,Q2,2022-Q2_단독,반기보고서(Q2단독)
미래에셋생명,085620,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독)
미래에셋생명,085620,2022,Q4,2022-FY_누적,사업보고서(FY누적)
미래에셋생명,085620,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독)
미래에셋생명,085620,2023,Q2,2023-Q2_단독,반기보고서(Q2단독)
미래에셋생명,085620,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),,,603.91,,,603.91
미래에셋생명,085620,2023,Q4,2023-FY_누적,사업보고서(FY누적),연결(CFS),,,1172.05
미래에셋생명,085620,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),,,436.27,,,436.27
미래에셋생명,085620,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),,,219.55,,,219.55
