종목명,종목코드,연도,분기,기간,보고서유형,재무기준,매출액(억원),영업이익(억원),당기순이익(억원),매출액_단독(억원),영업이익_단독(억원),당기순이익_단독(억원)
LX세미콘,108320,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),4056.2,592.4,508.2,4056.2,592.4,508.2
LX세미콘,108320,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),4492.8,955.5,728.9,4492.8,955.5,728.9
LX세미콘,108320,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),5053.9,1289.8,1044.7,5053.9,1289.8,1044.7
LX세미콘,108320,2021,FY,2021-FY_누적,사업보고서(FY누적),연결(CFS),18988.5,3696.2,2964.2,5385.6,858.5,682.4
LX세미콘,108320,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),5850.8,1279.2,972.6,5850.8,1279.2,972.6
LX세미콘,108320,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),5991.6,1095.9,830.3,5991.6,1095.9,830.3
LX세미콘,108320,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),4786.4,604.2,410.8,4786.4,604.2,410.8
LX세미콘,108320,2022,FY,2022-FY_누적,사업보고서(FY누적),연결(CFS),21193.5,3106.2,2336.9,4564.7,126.9,123.2
LX세미콘,108320,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),5214.7,391.4,357,5214.7,391.4,357
LX세미콘,108320,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),4544.7,78.2,46.8,4544.7,78.2,46.8
LX세미콘,108320,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),4127.7,149.3,139.2,4127.7,149.3,139.2
LX세미콘,108320,2023,FY,2023-FY_누적,사업보고서(FY누적),연결(CFS),19014.4,1290.4,1012,5127.3,671.5,469
LX세미콘,108320,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),4583.2,462.4,400.7,4583.2,462.4,400.7
LX세미콘,108320,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),4848.8,560.6,443,4848.8,560.6,443
LX세미콘,108320,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),4198.5,342.8,253.6,4198.5,342.8,253.6
LX세미콘,108320,2024,FY,2024-FY_누적,사업보고서(FY누적),연결(CFS),18656.2,1670.8,1305.1,5025.7,305,207.8
LX세미콘,108320,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),4762.3,596.9,453.6,4762.3,596.9,453.6
LX세미콘,108320,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),3786.2,102.3,83.2,3786.2,102.3,83.2
LX세미콘,108320,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),3943.9,140.3,100.9,3943.9,140.3,100.9
LX세미콘,108320,2025,FY,2025-FY_누적,사업보고서(FY누적),연결(CFS),16390.7,1088.6,826.3,3898.3,249.1,188.6
LX세미콘,108320,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),3887.7,205.9,112.2,3887.7,205.9,112.2
LX하우시스,108670,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),7737.6,280,333.3,7737.6,280,333.3
LX하우시스,108670,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),9007.4,300.9,-139.3,9007.4,300.9,-139.3
LX하우시스,108670,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),8683.2,112,30.5,8683.2,112,30.5
LX하우시스,108670,2021,FY,2021-FY_누적,사업보고서(FY누적),연결(CFS),34720,672.7,126.6,9291.8,-20.2,-97.9
LX하우시스,108670,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),8614.3,69.3,-31.4,8614.3,69.3,-31.4
LX하우시스,108670,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),9484.8,56.4,-475.4,9484.8,56.4,-475.4
LX하우시스,108670,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),9140,153.4,105.7,9140,153.4,105.7
LX하우시스,108670,2022,FY,2022-FY_누적,사업보고서(FY누적),연결(CFS),36111.5,149.4,-1177.2,8872.4,-129.7,-776.1
LX하우시스,108670,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),8403.8,161,46.5,8403.8,161,46.5
LX하우시스,108670,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),9384.8,494.2,336.1,9384.8,494.2,336.1
LX하우시스,108670,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),8642.4,354.3,279.6,8642.4,354.3,279.6
LX하우시스,108670,2023,FY,2023-FY_누적,사업보고서(FY누적),연결(CFS),35258.1,1098.2,617.9,8827.1,88.7,-44.3
LX하우시스,108670,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),8494.6,323.9,182.5,8494.6,323.9,182.5
