종목명,종목코드,연도,분기,기간,보고서유형,재무기준,매출액(억원),영업이익(억원),당기순이익(억원),매출액_단독(억원),영업이익_단독(억원),당기순이익_단독(억원)
SBS,34120,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),2585.6,517.3,645.5,2585.6,517.3,645.5
SBS,34120,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),3121.4,871.3,590.4,3121.4,871.3,590.4
SBS,34120,2021,FY,2021-FY_누적,사업보고서(FY누적),연결(CFS),10789.8,1844.4,1448.2,2912,33.4,-51.9
SBS,34120,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),2733.7,614,441.9,2733.7,614,441.9
SBS,34120,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),2521.9,501.4,510.9,2521.9,501.4,510.9
SBS,34120,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),2597.2,379.6,328.8,2597.2,379.6,328.8
SBS,34120,2022,FY,2022-FY_누적,사업보고서(FY누적),연결(CFS),11737.8,1856,1565.6,3885,361,284
SBS,34120,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),2175.2,-17.7,62.6,2175.2,-17.7,62.6
SBS,34120,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),2711.6,255.2,214.9,2711.6,255.2,214.9
SBS,34120,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),2383.6,154.8,154.5,2383.6,154.8,154.5
SBS,34120,2023,FY,2023-FY_누적,사업보고서(FY누적),연결(CFS),9967.6,583.2,472.2,2697.2,190.9,40.2
SBS,34120,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),2095.5,-120.3,129.7,2095.5,-120.3,129.7
SBS,34120,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),2750.3,95.7,49.4,2750.3,95.7,49.4
SBS,34120,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),3313.2,-253.3,-214.8,3313.2,-253.3,-214.8
SBS,34120,2024,FY,2024-FY_누적,사업보고서(FY누적),연결(CFS),10466.5,-191.9,337.8,2307.5,86,373.5
SBS,34120,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),2062.6,-68.8,-69,2062.6,-68.8,-69
SBS,34120,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),2682.4,69.9,56.7,2682.4,69.9,56.7
SBS,34120,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),2392.2,130.6,104,2392.2,130.6,104
SBS,34120,2025,FY,2025-FY_누적,사업보고서(FY누적),연결(CFS),10084.6,181.5,79.3,2947.4,49.8,-12.4
SBS,34120,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),1903.8,-176.3,-139.1,1903.8,-176.3,-139.1
LG디스플레이,034220,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),68827.61,5230.29,2658.11,68827.61,5230.29,2658.11
LG디스플레이,034220,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),69655.70,7010.60,4238.34,69655.70,7010.60,4238.34
LG디스플레이,034220,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),72231.96,5289.00,4634.70,72231.96,5289.00,4634.70
LG디스플레이,034220,2021,Q4,2021-FY_누적,사업보고서(FY누적),연결(CFS),298780.43,22306.08,13335.44,88065.16,4776.19,1804.29
LG디스플레이,034220,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),64714.80,383.46,542.78,64714.80,383.46,542.78
LG디스플레이,034220,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),56073.18,-4883.45,-3820.31,56073.18,-4883.45,-3820.31
LG디스플레이,034220,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),67713.55,-7593.06,-7740.31,67713.55,-7593.06,-7740.31
LG디스플레이,034220,2022,Q4,2022-FY_누적,사업보고서(FY누적),연결(CFS),261517.81,-20850.47,-31955.85,73016.28,-8757.42,-20938.01
LG디스플레이,034220,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),44110.56,-10983.58,-11531.00,44110.56,-10983.58,-11531.00
LG디스플레이,034220,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),47385.71,-8814.70,-6987.70,47385.71,-8814.70,-6987.70
LG디스플레이,034220,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),47852.87,-6620.80,-7753.98,47852.87,-6620.80,-7753.98
LG디스플레이,034220,2023,Q4,2023-FY_누적,사업보고서(FY누적),연결(CFS),213308.19,-25101.64,-25767.29,73959.05,1317.44,505.39
LG디스플레이,034220,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),52529.75,-4694.32,-7612.76,52529.75,-4694.32,-7612.76
LG디스플레이,034220,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),67081.99,-936.73,-4707.98,67081.99,-936.73,-4707.98
LG디스플레이,034220,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),68213.01,-805.99,-3381.08,68213.01,-805.99,-3381.08
