종목명,종목코드,연도,분기,기간,보고서유형,재무기준,매출액(억원),영업이익(억원),당기순이익(억원),매출액_단독(억원),영업이익_단독(억원),당기순이익_단독(억원)
하나제약,293480,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),별도(OFS),445,56.8,44.6,445,56.8,44.6
하나제약,293480,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),별도(OFS),485.5,106.3,87.1,485.5,106.3,87.1
하나제약,293480,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),별도(OFS),497.3,82.2,77.4,497.3,82.2,77.4
하나제약,293480,2021,FY,2021-FY_누적,사업보고서(FY누적),별도(OFS),1964.1,360.1,280.1,536.3,114.8,71
하나제약,293480,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),별도(OFS),507.3,80.5,61,507.3,80.5,61
하나제약,293480,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),별도(OFS),511,73.5,58.6,511,73.5,58.6
하나제약,293480,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),별도(OFS),545.3,76.8,54.7,545.3,76.8,54.7
하나제약,293480,2022,FY,2022-FY_누적,사업보고서(FY누적),별도(OFS),2108.4,311.7,243.1,544.8,80.9,68.8
하나제약,293480,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),별도(OFS),541.1,70,53.1,541.1,70,53.1
하나제약,293480,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),별도(OFS),573.6,86.4,77.1,573.6,86.4,77.1
하나제약,293480,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),별도(OFS),556.1,55.2,38.3,556.1,55.2,38.3
하나제약,293480,2023,FY,2023-FY_누적,사업보고서(FY누적),별도(OFS),2244.6,270.3,223.3,573.8,58.7,54.8
하나제약,293480,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),별도(OFS),570.7,77.5,60.8,570.7,77.5,60.8
하나제약,293480,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),별도(OFS),535,45.7,50.3,535,45.7,50.3
하나제약,293480,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),별도(OFS),572.5,38.8,29.5,572.5,38.8,29.5
하나제약,293480,2024,FY,2024-FY_누적,사업보고서(FY누적),별도(OFS),2253.4,251.5,212.5,575.2,89.5,71.9
하나제약,293480,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),별도(OFS),574.8,56.3,42.4,574.8,56.3,42.4
하나제약,293480,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),별도(OFS),578.8,60.2,55.3,578.8,60.2,55.3
하나제약,293480,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),별도(OFS),637.7,83.3,-42.6,637.7,83.3,-42.6
