종목명,종목코드,연도,분기,기간,보고서유형,재무기준,매출액(억원),영업이익(억원),당기순이익(억원),매출액_단독(억원),영업이익_단독(억원),당기순이익_단독(억원)
신라교역,4970,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),922.9,60.6,118.3,922.9,60.6,118.3
신라교역,4970,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),740.5,32.2,41.3,740.5,32.2,41.3
신라교역,4970,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),987.5,59,196.6,987.5,59,196.6
신라교역,4970,2021,FY,2021-FY_누적,사업보고서(FY누적),연결(CFS),3465,168.9,445.3,814.1,17.1,89.1
신라교역,4970,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),997.3,34,33.9,997.3,34,33.9
신라교역,4970,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),1197.5,94.3,193.3,1197.5,94.3,193.3
신라교역,4970,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),952,16.5,209.5,952,16.5,209.5
신라교역,4970,2022,FY,2022-FY_누적,사업보고서(FY누적),연결(CFS),4326.5,144.7,141.9,1179.7,-0.1,-294.8
신라교역,4970,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),770,-24.7,17.6,770,-24.7,17.6
신라교역,4970,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),1118.2,56.8,64.7,1118.2,56.8,64.7
신라교역,4970,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),1188.4,69.9,101.4,1188.4,69.9,101.4
신라교역,4970,2023,FY,2023-FY_누적,사업보고서(FY누적),연결(CFS),4341.9,139.3,171.6,1265.3,37.3,-12.1
신라교역,4970,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),1381.2,129.5,235.7,1381.2,129.5,235.7
신라교역,4970,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),1347.5,12.8,85,1347.5,12.8,85
신라교역,4970,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),1074.4,9.1,-141.7,1074.4,9.1,-141.7
