종목명,종목코드,연도,분기,기간,보고서유형,재무기준,매출액(억원),영업이익(억원),당기순이익(억원),매출액_단독(억원),영업이익_단독(억원),당기순이익_단독(억원)
프리티,6490,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),173,0.7,37.9,173,0.7,37.9
프리티,6490,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),147,-14.8,-18.9,147,-14.8,-18.9
프리티,6490,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),180.8,-12.1,58.6,180.8,-12.1,58.6
프리티,6490,2021,FY,2021-FY_누적,사업보고서(FY누적),연결(CFS),716.7,-24.2,50.9,215.9,2,-26.7
프리티,6490,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),176,3.2,1,176,3.2,1
프리티,6490,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),179.2,-2.8,-30.8,179.2,-2.8,-30.8
프리티,6490,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),195.5,2.2,-7.2,195.5,2.2,-7.2
프리티,6490,2022,FY,2022-FY_누적,사업보고서(FY누적),연결(CFS),766.8,-13.9,-74.1,216.1,-16.5,-37.1
프리티,6490,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),204.7,-3.7,-21,204.7,-3.7,-21
프리티,6490,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),231.5,42.2,24.3,231.5,42.2,24.3
프리티,6490,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),242.1,-3.6,-16.6,242.1,-3.6,-16.6
프리티,6490,2023,FY,2023-FY_누적,사업보고서(FY누적),연결(CFS),998.1,4.5,-303,319.8,-30.4,-289.7
프리티,6490,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),241,-14.9,-58.3,241,-14.9,-58.3
프리티,6490,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),246.6,-19.9,-90.8,246.6,-19.9,-90.8
프리티,6490,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),267.3,-1.8,204.7,267.3,-1.8,204.7
프리티,6490,2024,FY,2024-FY_누적,사업보고서(FY누적),연결(CFS),1005.3,-37.9,28.6,250.4,-1.3,-27
프리티,6490,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),243.1,-2.1,-198.9,243.1,-2.1,-198.9
프리티,6490,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),286.4,6.2,-60.1,286.4,6.2,-60.1
프리티,6490,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),261.3,27.2,-43.9,261.3,27.2,-43.9
프리티,6490,2025,FY,2025-FY_누적,사업보고서(FY누적),연결(CFS),1055.6,40.8,-416.8,264.8,9.5,-113.9
프리티,6490,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),242.2,-15.1,10.8,242.2,-15.1,10.8
대림통상,6570,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),354.3,-5.6,-8.5,354.3,-5.6,-8.5
대림통상,6570,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),364.6,5.8,1.3,364.6,5.8,1.3
대림통상,6570,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),389.1,-1.7,0.8,389.1,-1.7,0.8
대림통상,6570,2021,FY,2021-FY_누적,사업보고서(FY누적),연결(CFS),1552.3,29.4,3.4,444.3,30.9,9.8
대림통상,6570,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),422.4,18.7,11.7,422.4,18.7,11.7
대림통상,6570,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),420.1,8.3,17.9,420.1,8.3,17.9
대림통상,6570,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),446.7,10.3,21.4,446.7,10.3,21.4
대림통상,6570,2022,FY,2022-FY_누적,사업보고서(FY누적),연결(CFS),1741.1,69.5,38.3,451.9,32.2,-12.7
대림통상,6570,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),352.3,-13.8,-19.3,352.3,-13.8,-19.3
대림통상,6570,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),387.2,-4.1,-14.8,387.2,-4.1,-14.8
대림통상,6570,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),343.4,-17.7,-19.1,343.4,-17.7,-19.1
대림통상,6570,2023,FY,2023-FY_누적,사업보고서(FY누적),연결(CFS),1457.2,-49.3,-79.6,374.3,-13.7,-26.4
대림통상,6570,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),361.4,-6.6,-12.7,361.4,-6.6,-12.7
대림통상,6570,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),348.6,-1.3,-12.1,348.6,-1.3,-12.1
대림통상,6570,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),322.7,-10.5,-31.6,322.7,-10.5,-31.6
대림통상,6570,2024,FY,2024-FY_누적,사업보고서(FY누적),연결(CFS),1369.7,-34.1,-108.9,337,-15.7,-52.5
대림통상,6570,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),288.2,-12.4,-26.1,288.2,-12.4,-26.1
대림통상,6570,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),305.4,-26.2,-43.2,305.4,-26.2,-43.2
대림통상,6570,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),314.6,-36.8,-40.2,314.6,-36.8,-40.2
대림통상,6570,2025,FY,2025-FY_누적,사업보고서(FY누적),연결(CFS),1261.7,-95.7,-169.6,353.5,-20.3,-60.1
대림통상,6570,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),343.6,-6.1,-13.1,343.6,-6.1,-13.1
대한유화,6650,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),5596.2,865.5,706.1,5596.2,865.5,706.1
대한유화,6650,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),6343.9,757.5,584.4,6343.9,757.5,584.4
대한유화,6650,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),6341.2,321,308.6,6341.2,321,308.6
대한유화,6650,2021,FY,2021-FY_누적,사업보고서(FY누적),연결(CFS),25148.5,1794.1,1499.4,6867.2,-149.9,-99.7
대한유화,6650,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),6937.5,-22.3,25,6937.5,-22.3,25
대한유화,6650,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),6918.6,-430.1,-290.3,6918.6,-430.1,-290.3
대한유화,6650,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),4726.6,-600.9,-387.5,4726.6,-600.9,-387.5
대한유화,6650,2022,FY,2022-FY_누적,사업보고서(FY누적),연결(CFS),22220.7,-2146.4,-1490.5,3638,-1093.1,-837.7
대한유화,6650,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),5290.8,-361.4,-175.6,5290.8,-361.4,-175.6
대한유화,6650,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),6327.3,-350.6,-256.2,6327.3,-350.6,-256.2
대한유화,6650,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),6662.4,187.7,173.4,6662.4,187.7,173.4
대한유화,6650,2023,FY,2023-FY_누적,사업보고서(FY누적),연결(CFS),24999.7,-623.2,-290.4,6719.2,-98.9,-32
대한유화,6650,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),6635.9,-156.5,-65.9,6635.9,-156.5,-65.9
대한유화,6650,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),7416.2,-63.1,-17.8,7416.2,-63.1,-17.8
대한유화,6650,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),6827.7,-286,-202.9,6827.7,-286,-202.9
대한유화,6650,2024,FY,2024-FY_누적,사업보고서(FY누적),연결(CFS),28001,-598.9,-85.3,7121.2,-93.3,201.3
대한유화,6650,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),7416.3,-98.8,29.7,7416.3,-98.8,29.7
대한유화,6650,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),8467.7,-46,78.7,8467.7,-46,78.7
대한유화,6650,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),9099.2,428.5,423.5,9099.2,428.5,423.5
대한유화,6650,2025,FY,2025-FY_누적,사업보고서(FY누적),연결(CFS),33478.2,526.7,559,8495,243,27.1
삼성공조,6660,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),183.4,2.6,22.2,183.4,2.6,22.2
삼성공조,6660,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),207.9,-4.7,12.8,207.9,-4.7,12.8
삼성공조,6660,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),191.4,6.6,20.4,191.4,6.6,20.4
삼성공조,6660,2021,FY,2021-FY_누적,사업보고서(FY누적),연결(CFS),795.8,11.7,-24.8,213.1,7.2,-80.2
삼성공조,6660,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),213,5.1,38.8,213,5.1,38.8
삼성공조,6660,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),233.5,17.1,33.6,233.5,17.1,33.6
삼성공조,6660,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),234.3,6.1,40.7,234.3,6.1,40.7
삼성공조,6660,2022,FY,2022-FY_누적,사업보고서(FY누적),연결(CFS),957.5,87.4,409.6,276.7,59.1,296.5
삼성공조,6660,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),342.1,21.2,43.4,342.1,21.2,43.4
삼성공조,6660,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),332.2,19.4,56.7,332.2,19.4,56.7
