종목명,종목코드,연도,분기,기간,보고서유형,재무기준,매출액(억원),영업이익(억원),당기순이익(억원),매출액_단독(억원),영업이익_단독(억원),당기순이익_단독(억원)
와이투솔루션,11690,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),249.1,-11.5,25.5,249.1,-11.5,25.5
와이투솔루션,11690,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),242.2,-5.4,3.1,242.2,-5.4,3.1
와이투솔루션,11690,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),260.3,-18.8,-16.4,260.3,-18.8,-16.4
와이투솔루션,11690,2021,FY,2021-FY_누적,사업보고서(FY누적),연결(CFS),1015.2,-45.3,-96.6,263.6,-9.6,-108.8
와이투솔루션,11690,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),247.5,1.4,-5.6,247.5,1.4,-5.6
와이투솔루션,11690,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),301,3.5,-6.6,301,3.5,-6.6
와이투솔루션,11690,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),408.5,16.7,41.2,408.5,16.7,41.2
와이투솔루션,11690,2022,FY,2022-FY_누적,사업보고서(FY누적),연결(CFS),1205.2,17.8,-22.1,248.2,-3.8,-51.1
와이투솔루션,11690,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),233.3,-9.1,-64,233.3,-9.1,-64
와이투솔루션,11690,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),304.8,0,46.6,304.8,0,46.6
와이투솔루션,11690,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),392.1,10.6,-1.1,392.1,10.6,-1.1
와이투솔루션,11690,2023,FY,2023-FY_누적,사업보고서(FY누적),연결(CFS),1369.4,19.1,-3.5,439.2,17.6,15
와이투솔루션,11690,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),406.1,9.2,34.2,406.1,9.2,34.2
와이투솔루션,11690,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),389.8,16.7,39.9,389.8,16.7,39.9
와이투솔루션,11690,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),395.3,6.4,-8.7,395.3,6.4,-8.7
와이투솔루션,11690,2024,FY,2024-FY_누적,사업보고서(FY누적),별도(OFS),1545.1,28.9,65.8,353.9,-3.4,0.4
와이투솔루션,11690,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),별도(OFS),380.7,9.3,7.8,380.7,9.3,7.8
와이투솔루션,11690,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),별도(OFS),320.7,-14,-48.3,320.7,-14,-48.3
와이투솔루션,11690,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),466.2,-9.4,-10.4,466.2,-9.4,-10.4
와이투솔루션,11690,2025,FY,2025-FY_누적,사업보고서(FY누적),연결(CFS),1650.6,-25.7,-95.9,483,-11.6,-45
