종목명,종목코드,연도,분기,기간,보고서유형,재무기준,매출액(억원),영업이익(억원),당기순이익(억원),매출액_단독(억원),영업이익_단독(억원),당기순이익_단독(억원)
대한제분,001130,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),2465.8,87.0,80.9,2465.8,87.0,80.9
대한제분,001130,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),2724.7,80.5,776.0,2724.7,80.5,776.0
대한제분,001130,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),2782.4,69.1,59.1,2782.4,69.1,59.1
대한제분,001130,2021,FY,2021-FY_누적,사업보고서(FY누적),연결(CFS),11113.4,249.6,873.0,3140.5,13.0,-43.0
대한제분,001130,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),3049.5,63.9,44.1,3049.5,63.9,44.1
대한제분,001130,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),3407.1,151.1,108.0,3407.1,151.1,108.0
대한제분,001130,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),3464.5,130.1,49.2,3464.5,130.1,49.2
대한제분,001130,2022,FY,2022-FY_누적,사업보고서(FY누적),연결(CFS),13681.7,432.7,413.4,3760.6,87.6,212.1
대한제분,001130,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),3545.5,31.4,85.1,3545.5,31.4,85.1
대한제분,001130,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),3670.4,138.8,147.4,3670.4,138.8,147.4
대한제분,001130,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),3604.6,142.3,108.3,3604.6,142.3,108.3
대한제분,001130,2023,FY,2023-FY_누적,사업보고서(FY누적),연결(CFS),14414.6,548.6,812.4,3594.1,236.1,471.6
대한제분,001130,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),3396.2,194.6,146.3,3396.2,194.6,146.3
대한제분,001130,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),3416.6,186.5,155.8,3416.6,186.5,155.8
대한제분,001130,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),3294.2,172.3,154.5,3294.2,172.3,154.5
대한제분,001130,2024,FY,2024-FY_누적,사업보고서(FY누적),연결(CFS),13747.4,723.1,488.3,3640.4,169.7,31.7
대한제분,001130,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),3407.5,156.6,113.3,3407.5,156.6,113.3
대한제분,001130,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),3363.2,150.0,234.2,3363.2,150.0,234.2
대한제분,001130,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),3476.8,166.0,228.8,3476.8,166.0,228.8
대한제분,001130,2025,FY,2025-FY_누적,사업보고서(FY누적),연결(CFS),13752.0,622.6,-251.4,3504.5,150.0,-827.7
대한제분,001130,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),3343.4,70.2,73.5,3343.4,70.2,73.5
유진투자증권,001200,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독)
유진투자증권,001200,2021,Q2,2021-Q2_단독,반기보고서(Q2단독)
유진투자증권,001200,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독)
유진투자증권,001200,2021,FY,2021-FY_누적,사업보고서(FY누적)
유진투자증권,001200,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독)
유진투자증권,001200,2022,Q2,2022-Q2_단독,반기보고서(Q2단독)
유진투자증권,001200,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독)
유진투자증권,001200,2022,FY,2022-FY_누적,사업보고서(FY누적)
유진투자증권,001200,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독)
유진투자증권,001200,2023,Q2,2023-Q2_단독,반기보고서(Q2단독)
