종목명,종목코드,연도,분기,기간,보고서유형,재무기준,매출액(억원),영업이익(억원),당기순이익(억원),매출액_단독(억원),영업이익_단독(억원),당기순이익_단독(억원)
HL홀딩스,60980,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),2250.5,344.8,314,2250.5,344.8,314
HL홀딩스,60980,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),2649.1,438.4,338.6,2649.1,438.4,338.6
HL홀딩스,60980,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),2680.9,411.3,384,2680.9,411.3,384
HL홀딩스,60980,2021,FY,2021-FY_누적,사업보고서(FY누적),연결(CFS),10411.6,1399,1061.8,2831.1,204.5,25.2
HL홀딩스,60980,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),2995.3,357.4,212.7,2995.3,357.4,212.7
HL홀딩스,60980,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),3142.7,444.2,-70.4,3142.7,444.2,-70.4
HL홀딩스,60980,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),3439.6,234.3,316.3,3439.6,234.3,316.3
HL홀딩스,60980,2022,FY,2022-FY_누적,사업보고서(FY누적),연결(CFS),12771.1,858.5,24.8,3193.5,-177.4,-433.8
HL홀딩스,60980,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),3224.5,332.3,219.3,3224.5,332.3,219.3
HL홀딩스,60980,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),3624.3,630.7,537.7,3624.3,630.7,537.7
HL홀딩스,60980,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),2811.4,-133,-191.9,2811.4,-133,-191.9
HL홀딩스,60980,2023,FY,2023-FY_누적,사업보고서(FY누적),연결(CFS),12855.3,921.7,487.5,3195.1,91.7,-77.6
HL홀딩스,60980,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),3626.5,670.7,485.1,3626.5,670.7,485.1
HL홀딩스,60980,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),3329.5,170,45.8,3329.5,170,45.8
HL홀딩스,60980,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),3132.2,-173.6,-231.4,3132.2,-173.6,-231.4
HL홀딩스,60980,2024,FY,2024-FY_누적,사업보고서(FY누적),연결(CFS),13710.9,904.4,198.3,3622.7,237.3,-101.2
HL홀딩스,60980,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),3303.5,173.6,66.7,3303.5,173.6,66.7
