종목명,종목코드,연도,분기,기간,보고서유형,재무기준,매출액(억원),영업이익(억원),당기순이익(억원),매출액_단독(억원),영업이익_단독(억원),당기순이익_단독(억원)
대현,16090,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),별도(OFS),649.4,29.3,27.9,649.4,29.3,27.9
대현,16090,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),별도(OFS),558.9,17.8,18.7,558.9,17.8,18.7
대현,16090,2021,FY,2021-FY_누적,사업보고서(FY누적),별도(OFS),2879,224.1,192.4,969.7,120.3,103.1
대현,16090,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),별도(OFS),786.4,70.3,59.1,786.4,70.3,59.1
대현,16090,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),별도(OFS),731.5,75.7,51.3,731.5,75.7,51.3
대현,16090,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),별도(OFS),673.6,49.6,51.2,673.6,49.6,51.2
대현,16090,2022,FY,2022-FY_누적,사업보고서(FY누적),별도(OFS),3193.1,302,254.3,1001.6,106.4,92.7
대현,16090,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),별도(OFS),765.4,73.9,65.8,765.4,73.9,65.8
대현,16090,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),별도(OFS),645.9,50.9,47.9,645.9,50.9,47.9
대현,16090,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),별도(OFS),554.1,20,24.3,554.1,20,24.3
대현,16090,2023,FY,2023-FY_누적,사업보고서(FY누적),별도(OFS),2953,213.3,232.7,987.6,68.5,94.7
대현,16090,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),별도(OFS),738.3,48.5,51.3,738.3,48.5,51.3
대현,16090,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),별도(OFS),598.8,60.5,53.8,598.8,60.5,53.8
대현,16090,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),별도(OFS),502.6,26.7,32,502.6,26.7,32
대현,16090,2024,FY,2024-FY_누적,사업보고서(FY누적),별도(OFS),2592.8,143.7,159,753.1,8,21.9
대현,16090,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),별도(OFS),630.9,10.6,23.8,630.9,10.6,23.8
대현,16090,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),별도(OFS),529,10.7,20.2,529,10.7,20.2
대현,16090,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),별도(OFS),468.3,-19.9,-4.6,468.3,-19.9,-4.6
대현,16090,2025,FY,2025-FY_누적,사업보고서(FY누적),별도(OFS),2405.4,70.8,110.1,777.2,69.4,70.7
대현,16090,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),별도(OFS),658.1,35.7,38.6,658.1,35.7,38.6
삼성증권,016360,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독)
삼성증권,016360,2021,Q2,2021-Q2_단독,반기보고서(Q2단독)
