종목명,종목코드,연도,분기,기간,보고서유형,재무기준,매출액(억원),영업이익(억원),당기순이익(억원),매출액_단독(억원),영업이익_단독(억원),당기순이익_단독(억원)
알테오젠,196170,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),118.8,-14.7,3.9,118.8,-14.7,3.9
알테오젠,196170,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),63.2,-105.2,-55.7,63.2,-105.2,-55.7
알테오젠,196170,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),64.5,-101.5,-80.4,64.5,-101.5,-80.4
알테오젠,196170,2021,FY,2021-FY_누적,사업보고서(FY누적),연결(CFS),411.2,-128,-91.9,164.7,93.4,40.3
알테오젠,196170,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),70.6,-66.1,57.1,70.6,-66.1,57.1
알테오젠,196170,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),56.9,-93.1,-58.5,56.9,-93.1,-58.5
알테오젠,196170,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),55.4,-107,-66.9,55.4,-107,-66.9
알테오젠,196170,2022,FY,2022-FY_누적,사업보고서(FY누적),연결(CFS),288.1,-293.7,-100.8,105.2,-27.5,-32.5
알테오젠,196170,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),103.4,-104.9,-83.5,103.4,-104.9,-83.5
알테오젠,196170,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),425.3,194.1,260.8,425.3,194.1,260.8
알테오젠,196170,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),213,-105.9,-79.8,213,-105.9,-79.8
알테오젠,196170,2023,FY,2023-FY_누적,사업보고서(FY누적),연결(CFS),965.2,-97.4,-35.8,223.5,-80.7,-133.3
알테오젠,196170,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),349,172.6,208.9,349,172.6,208.9
알테오젠,196170,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),122.3,-67.3,-31.8,122.3,-67.3,-31.8
알테오젠,196170,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),48.9,-81.6,-94.3,48.9,-81.6,-94.3
알테오젠,196170,2024,FY,2024-FY_누적,사업보고서(FY누적),연결(CFS),1028.5,254,606.9,508.3,230.3,524.1
알테오젠,196170,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),837,610.2,830.4,837,610.2,830.4
알테오젠,196170,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),186.4,-4.3,-343.2,186.4,-4.3,-343.2
알테오젠,196170,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),490.1,266.7,220.3,490.1,266.7,220.3
알테오젠,196170,2025,FY,2025-FY_누적,사업보고서(FY누적),연결(CFS),2158.6,1069,1451.7,645.1,196.4,744.2
알테오젠,196170,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),716,393,713.4,716,393,713.4
에코프로비엠,247540,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),2632,178.3,138.2,2632,178.3,138.2
에코프로비엠,247540,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),3104.4,290.4,215.3,3104.4,290.4,215.3
에코프로비엠,247540,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),4080.5,406.9,318,4080.5,406.9,318
에코프로비엠,247540,2021,FY,2021-FY_누적,사업보고서(FY누적),연결(CFS),14856.3,1150.3,977.9,5039.4,274.7,306.4
에코프로비엠,247540,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),6624.6,410.6,304.1,6624.6,410.6,304.1
에코프로비엠,247540,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),11871.4,1028.9,777.8,11871.4,1028.9,777.8
에코프로비엠,247540,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),15632.1,1414.6,1096.3,15632.1,1414.6,1096.3
에코프로비엠,247540,2022,FY,2022-FY_누적,사업보고서(FY누적),연결(CFS),53576.1,3806.8,2726.5,19448,952.7,548.3
에코프로비엠,247540,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),20109.9,1073.3,803.9,20109.9,1073.3,803.9
에코프로비엠,247540,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),19062.3,1147,824.7,19062.3,1147,824.7
에코프로비엠,247540,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),18032.5,458.7,211.9,18032.5,458.7,211.9
에코프로비엠,247540,2023,FY,2023-FY_누적,사업보고서(FY누적),연결(CFS),69008.7,1560.3,546.9,11804,-1118.7,-1293.6
에코프로비엠,247540,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),9704.6,66.8,-49.5,9704.6,66.8,-49.5
에코프로비엠,247540,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),8095.2,38.9,69.5,8095.2,38.9,69.5
에코프로비엠,247540,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),5219.4,-412.3,-495.4,5219.4,-412.3,-495.4
에코프로비엠,247540,2024,FY,2024-FY_누적,사업보고서(FY누적),연결(CFS),27668.4,-341.1,-585.1,4649.2,-34.5,-109.7
에코프로비엠,247540,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),6297.9,22.7,-99.7,6297.9,22.7,-99.7
에코프로비엠,247540,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),7797.2,490,342.7,7797.2,490,342.7
에코프로비엠,247540,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),6250.6,504.8,490.7,6250.6,504.8,490.7
