종목명,종목코드,연도,분기,기간,보고서유형,재무기준,매출액(억원),영업이익(억원),당기순이익(억원),매출액_단독(억원),영업이익_단독(억원),당기순이익_단독(억원)
헬릭스미스,084990,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),3.89,-117.70,-27.59,3.89,-117.70,-27.59
헬릭스미스,084990,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),4.31,-105.98,-233.12,4.31,-105.98,-233.12
헬릭스미스,084990,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),6.52,-94.54,-43.52,6.52,-94.54,-43.52
헬릭스미스,084990,2021,Q4,2021-FY_누적,사업보고서(FY누적),연결(CFS),23.16,-485.18,-526.48,8.45,-166.97,-222.26
헬릭스미스,084990,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),14.22,-117.72,-119.11,14.22,-117.72,-119.11
헬릭스미스,084990,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),5.05,-129.02,-82.69,5.05,-129.02,-82.69
헬릭스미스,084990,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),7.70,-130.73,-111.19,7.70,-130.73,-111.19
헬릭스미스,084990,2022,Q4,2022-FY_누적,사업보고서(FY누적),연결(CFS),28.00,-525.79,-430.65,1.03,-148.32,-117.66
헬릭스미스,084990,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),14.71,-120.89,-109.92,14.71,-120.89,-109.92
헬릭스미스,084990,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),11.00,-90.51,-85.16,11.00,-90.51,-85.16
헬릭스미스,084990,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),10.92,-78.41,-80.87,10.92,-78.41,-80.87
헬릭스미스,084990,2023,Q4,2023-FY_누적,사업보고서(FY누적),연결(CFS),42.02,-352.45,-641.80,5.39,-62.64,-365.85
헬릭스미스,084990,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),8.18,-57.30,-53.65,8.18,-57.30,-53.65
헬릭스미스,084990,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),7.20,-59.15,-43.54,7.20,-59.15,-43.54
헬릭스미스,084990,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),18.03,-50.57,-38.00,18.03,-50.57,-38.00
헬릭스미스,084990,2024,Q4,2024-FY_누적,사업보고서(FY누적),연결(CFS),49.74,-179.55,-154.86,16.33,-12.53,-19.67
헬릭스미스,084990,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),9.30,-28.58,-15.35,9.30,-28.58,-15.35
헬릭스미스,084990,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),6.13,-19.90,-7.70,6.13,-19.90,-7.70
헬릭스미스,084990,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),5.65,-26.77,-10.24,5.65,-26.77,-10.24
헬릭스미스,084990,2025,Q4,2025-FY_누적,사업보고서(FY누적),연결(CFS),25.98,-98.98,-4.60,4.90,-23.74,28.68
헬릭스미스,084990,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),5.55,-21.97,-14.06,5.55,-21.97,-14.06
차바이오텍,085660,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),1678.45,49.93,43.08,1678.45,49.93,43.08
차바이오텍,085660,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),1799.65,1.15,-247.31,1799.65,1.15,-247.31
차바이오텍,085660,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),1862.58,5.16,68.78,1862.58,5.16,68.78
차바이오텍,085660,2021,Q4,2021-FY_누적,사업보고서(FY누적),연결(CFS),7274.76,77.13,-218.44,1934.08,20.89,-82.99
차바이오텍,085660,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),1880.35,-51.25,-76.54,1880.35,-51.25,-76.54
차바이오텍,085660,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),2116.73,-55.66,-2.74,2116.73,-55.66,-2.74
차바이오텍,085660,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),2156.61,-155.73,-18.34,2156.61,-155.73,-18.34
차바이오텍,085660,2022,Q4,2022-FY_누적,사업보고서(FY누적),연결(CFS),8445.83,-470.76,-696.59,2292.14,-208.12,-598.97
차바이오텍,085660,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),2364.33,120.78,57.07,2364.33,120.78,57.07
차바이오텍,085660,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),2397.65,13.90,31.56,2397.65,13.90,31.56
차바이오텍,085660,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),2370.19,-50.38,76.08,2370.19,-50.38,76.08
