종목명,종목코드,연도,분기,기간,보고서유형,재무기준,매출액(억원),영업이익(억원),당기순이익(억원),매출액_단독(억원),영업이익_단독(억원),당기순이익_단독(억원)
쎄트렉아이,099320,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),163.48,10.17,9.05,163.48,10.17,9.05
쎄트렉아이,099320,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),225.16,31.29,-139.08,225.16,31.29,-139.08
쎄트렉아이,099320,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),176.86,12.19,-105.41,176.86,12.19,-105.41
쎄트렉아이,099320,2021,Q4,2021-FY_누적,사업보고서(FY누적),연결(CFS),734.49,12.69,-126.47,168.99,-40.96,108.98
쎄트렉아이,099320,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),180.40,18.38,18.04,180.40,18.38,18.04
쎄트렉아이,099320,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),208.21,-19.98,53.63,208.21,-19.98,53.63
쎄트렉아이,099320,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),231.83,-3.35,51.93,231.83,-3.35,51.93
쎄트렉아이,099320,2022,Q4,2022-FY_누적,사업보고서(FY누적),연결(CFS),913.58,-77.28,-28.09,293.13,-72.34,-151.70
쎄트렉아이,099320,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),239.40,-3.05,-150.65,239.40,-3.05,-150.65
쎄트렉아이,099320,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),388.82,-4.64,179.08,388.82,-4.64,179.08
쎄트렉아이,099320,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),249.19,-25.91,-13.95,249.19,-25.91,-13.95
쎄트렉아이,099320,2023,Q4,2023-FY_누적,사업보고서(FY누적),연결(CFS),1254.33,-43.54,414.66,376.92,-9.94,400.19
쎄트렉아이,099320,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),317.19,-35.33,-29.79,317.19,-35.33,-29.79
쎄트렉아이,099320,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),474.63,-15.28,34.96,474.63,-15.28,34.96
쎄트렉아이,099320,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),436.84,7.84,6.16,436.84,7.84,6.16
쎄트렉아이,099320,2024,Q4,2024-FY_누적,사업보고서(FY누적),연결(CFS),1712.79,-30.72,62.49,484.13,12.05,51.16
쎄트렉아이,099320,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),400.41,17.42,12.72,400.41,17.42,12.72
쎄트렉아이,099320,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),444.84,20.26,33.40,444.84,20.26,33.40
쎄트렉아이,099320,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),504.38,24.55,18.98,504.38,24.55,18.98
쎄트렉아이,099320,2025,Q4,2025-FY_누적,사업보고서(FY누적),연결(CFS),2069.17,101.80,140.86,719.54,39.56,75.75
쎄트렉아이,099320,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),371.85,-20.04,-19.96,371.85,-20.04,-19.96
브레인즈컴퍼니,099390,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),,,,,,,
브레인즈컴퍼니,099390,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),,,,,,,
브레인즈컴퍼니,099390,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),별도(OFS),23.43,-1.60,1.34,23.43,-1.60,1.34
브레인즈컴퍼니,099390,2021,Q4,2021-FY_누적,사업보고서(FY누적),별도(OFS),176.91,53.08,49.40,,,
브레인즈컴퍼니,099390,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),별도(OFS),26.52,1.46,4.21,26.52,1.46,4.21
브레인즈컴퍼니,099390,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),별도(OFS),35.20,6.69,7.03,35.20,6.69,7.03
브레인즈컴퍼니,099390,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),별도(OFS),27.07,-3.12,0.52,27.07,-3.12,0.52
브레인즈컴퍼니,099390,2022,Q4,2022-FY_누적,사업보고서(FY누적),별도(OFS),182.53,47.82,50.39,93.74,42.79,38.63
브레인즈컴퍼니,099390,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),33.52,-15.55,-8.21,33.52,-15.55,-8.21
브레인즈컴퍼니,099390,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),57.26,7.99,15.33,57.26,7.99,15.33
브레인즈컴퍼니,099390,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),53.64,4.27,10.10,53.64,4.27,10.10
브레인즈컴퍼니,099390,2023,Q4,2023-FY_누적,사업보고서(FY누적),연결(CFS),258.19,33.38,50.88,113.77,36.67,33.66
브레인즈컴퍼니,099390,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),44.45,-14.63,-7.89,44.45,-14.63,-7.89
브레인즈컴퍼니,099390,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),58.38,4.12,7.14,58.38,4.12,7.14
브레인즈컴퍼니,099390,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),52.63,-7.23,-1.52,52.63,-7.23,-1.52
브레인즈컴퍼니,099390,2024,Q4,2024-FY_누적,사업보고서(FY누적),연결(CFS),265.86,36.00,45.52,110.40,53.74,47.78
브레인즈컴퍼니,099390,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),36.60,-19.37,-12.32,36.60,-19.37,-12.32
브레인즈컴퍼니,099390,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),53.69,0.75,9.27,53.69,0.75,9.27
브레인즈컴퍼니,099390,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),42.34,-7.61,-1.50,42.34,-7.61,-1.50
브레인즈컴퍼니,099390,2025,Q4,2025-FY_누적,사업보고서(FY누적),연결(CFS),250.86,21.10,45.58,118.24,47.34,50.13
브레인즈컴퍼니,099390,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),40.61,-12.21,2.95,40.61,-12.21,2.95
동방선기,099410,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),별도(OFS),47.61,-3.18,-1.97,47.61,-3.18,-1.97
동방선기,099410,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),별도(OFS),46.14,-4.36,-2.56,46.14,-4.36,-2.56
동방선기,099410,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),별도(OFS),47.09,2.34,2.98,47.09,2.34,2.98
동방선기,099410,2021,Q4,2021-FY_누적,사업보고서(FY누적),별도(OFS),229.81,4.90,10.59,88.96,10.10,12.14
동방선기,099410,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),별도(OFS),57.25,-3.25,-2.93,57.25,-3.25,-2.93
동방선기,099410,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),별도(OFS),67.50,5.53,4.29,67.50,5.53,4.29
동방선기,099410,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),별도(OFS),59.89,1.52,1.92,59.89,1.52,1.92
동방선기,099410,2022,Q4,2022-FY_누적,사업보고서(FY누적),별도(OFS),248.60,13.99,12.80,63.96,10.19,9.53
동방선기,099410,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),별도(OFS),68.79,5.90,4.65,68.79,5.90,4.65
동방선기,099410,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),별도(OFS),67.91,3.47,2.01,67.91,3.47,2.01
동방선기,099410,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),별도(OFS),56.10,2.18,1.02,56.10,2.18,1.02
동방선기,099410,2023,Q4,2023-FY_누적,사업보고서(FY누적),별도(OFS),273.08,34.14,47.96,80.28,22.59,40.29
동방선기,099410,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),별도(OFS),56.57,-0.78,0.09,56.57,-0.78,0.09
동방선기,099410,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),별도(OFS),77.34,7.29,9.15,77.34,7.29,9.15
동방선기,099410,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),별도(OFS),92.24,9.72,8.48,92.24,9.72,8.48
동방선기,099410,2024,Q4,2024-FY_누적,사업보고서(FY누적),별도(OFS),357.16,40.82,60.44,131.01,24.59,42.72
동방선기,099410,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),별도(OFS),84.69,4.22,3.09,84.69,4.22,3.09
동방선기,099410,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),별도(OFS),88.69,6.93,4.52,88.69,6.93,4.52
동방선기,099410,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),별도(OFS),115.07,30.29,29.03,115.07,30.29,29.03
동방선기,099410,2025,Q4,2025-FY_누적,사업보고서(FY누적),별도(OFS),418.79,92.89,79.49,130.35,51.46,42.85
동방선기,099410,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),별도(OFS),91.97,15.55,14.82,91.97,15.55,14.82
바이오플러스,099430,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),,,,,,,
바이오플러스,099430,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),,,,,,,
바이오플러스,099430,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),80.56,35.80,-9.28,80.56,35.80,-9.28
바이오플러스,099430,2021,Q4,2021-FY_누적,사업보고서(FY누적),연결(CFS),374.18,182.26,106.73,,,
바이오플러스,099430,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),120.23,56.07,44.15,120.23,56.07,44.15
바이오플러스,099430,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),140.84,65.58,53.04,140.84,65.58,53.04
바이오플러스,099430,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),141.27,64.20,51.44,141.27,64.20,51.44
바이오플러스,099430,2022,Q4,2022-FY_누적,사업보고서(FY누적),연결(CFS),567.19,252.71,207.08,164.85,66.86,58.45
바이오플러스,099430,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),124.08,55.25,59.65,124.08,55.25,59.65
바이오플러스,099430,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),189.56,87.38,77.69,189.56,87.38,77.69
바이오플러스,099430,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),175.19,74.81,66.01,175.19,74.81,66.01
바이오플러스,099430,2023,Q4,2023-FY_누적,사업보고서(FY누적),연결(CFS),650.43,280.26,274.22,161.60,62.82,70.86
바이오플러스,099430,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),96.13,24.18,26.50,96.13,24.18,26.50
바이오플러스,099430,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),112.89,27.12,62.30,112.89,27.12,62.30
바이오플러스,099430,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),164.17,47.17,41.26,164.17,47.17,41.26
바이오플러스,099430,2024,Q4,2024-FY_누적,사업보고서(FY누적),연결(CFS),664.10,236.67,175.10,290.91,138.21,45.05
바이오플러스,099430,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),229.82,71.01,85.21,229.82,71.01,85.21
바이오플러스,099430,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),206.74,20.72,34.28,206.74,20.72,34.28
바이오플러스,099430,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),240.56,48.75,44.08,240.56,48.75,44.08
바이오플러스,099430,2025,Q4,2025-FY_누적,사업보고서(FY누적),연결(CFS),908.96,150.05,199.96,231.84,9.58,36.39
바이오플러스,099430,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),265.10,56.55,79.98,265.10,56.55,79.98
스맥,099440,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),263.35,-10.29,-4.97,263.35,-10.29,-4.97
스맥,099440,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),339.35,-12.77,-27.25,339.35,-12.77,-27.25
스맥,099440,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),285.36,1.43,14.65,285.36,1.43,14.65
스맥,099440,2021,Q4,2021-FY_누적,사업보고서(FY누적),연결(CFS),1285.00,-109.90,-163.98,396.95,-88.28,-146.42
스맥,099440,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),395.70,19.64,23.53,395.70,19.64,23.53
스맥,099440,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),389.96,14.82,-17.92,389.96,14.82,-17.92
스맥,099440,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),412.98,35.42,101.86,412.98,35.42,101.86
스맥,099440,2022,Q4,2022-FY_누적,사업보고서(FY누적),연결(CFS),1594.73,117.46,96.82,396.09,47.57,-10.66
스맥,099440,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),449.17,48.04,42.18,449.17,48.04,42.18
스맥,099440,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),485.56,72.36,47.99,485.56,72.36,47.99
스맥,099440,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),402.55,46.72,48.25,402.55,46.72,48.25
