종목명,종목코드,연도,분기,기간,보고서유형,재무기준,매출액(억원),영업이익(억원),당기순이익(억원),매출액_단독(억원),영업이익_단독(억원),당기순이익_단독(억원)
한양디지텍,078350,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),514.22,38.79,43.21,514.22,38.79,43.21
한양디지텍,078350,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),689.59,57.46,46.01,689.59,57.46,46.01
한양디지텍,078350,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),850.07,111.18,86.98,850.07,111.18,86.98
한양디지텍,078350,2021,Q4,2021-FY_누적,사업보고서(FY누적),연결(CFS),3033.99,300.16,242.43,980.11,92.72,66.24
한양디지텍,078350,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),1003.30,112.28,89.18,1003.30,112.28,89.18
한양디지텍,078350,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),1170.45,143.87,97.54,1170.45,143.87,97.54
한양디지텍,078350,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),1296.89,177.45,105.69,1296.89,177.45,105.69
한양디지텍,078350,2022,Q4,2022-FY_누적,사업보고서(FY누적),연결(CFS),4847.70,528.23,371.80,1377.06,94.64,79.40
한양디지텍,078350,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),1094.50,36.43,33.76,1094.50,36.43,33.76
한양디지텍,078350,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),1090.97,39.42,20.82,1090.97,39.42,20.82
한양디지텍,078350,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),1319.32,41.68,7.21,1319.32,41.68,7.21
한양디지텍,078350,2023,Q4,2023-FY_누적,사업보고서(FY누적),연결(CFS),4788.38,190.97,126.41,1283.58,73.44,64.61
한양디지텍,078350,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),1675.30,111.56,75.24,1675.30,111.56,75.24
한양디지텍,078350,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),1556.80,98.98,60.59,1556.80,98.98,60.59
한양디지텍,078350,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),1290.61,43.33,38.67,1290.61,43.33,38.67
한양디지텍,078350,2024,Q4,2024-FY_누적,사업보고서(FY누적),연결(CFS),5951.67,350.43,255.23,1428.97,96.56,80.73
한양디지텍,078350,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),1494.48,47.26,36.85,1494.48,47.26,36.85
한양디지텍,078350,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),1551.95,-0.92,-35.46,1551.95,-0.92,-35.46
한양디지텍,078350,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),1784.15,97.70,87.22,1784.15,97.70,87.22
한양디지텍,078350,2025,Q4,2025-FY_누적,사업보고서(FY누적),연결(CFS),6510.51,238.71,149.76,1679.94,94.67,61.14
한양디지텍,078350,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),1919.87,67.65,50.24,1919.87,67.65,50.24
휴림에이텍,078590,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),155.28,-19.19,168.58,155.28,-19.19,168.58
휴림에이텍,078590,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),110.96,-13.31,-1083.02,110.96,-13.31,-1083.02
휴림에이텍,078590,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),별도(OFS),90.99,1.19,-20.99,90.99,1.19,-20.99
휴림에이텍,078590,2021,Q4,2021-FY_누적,사업보고서(FY누적),별도(OFS),426.10,13.78,-867.01,68.86,45.08,68.43
휴림에이텍,078590,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),별도(OFS),109.24,1.27,3.72,109.24,1.27,3.72
휴림에이텍,078590,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),별도(OFS),101.28,8.89,17.05,101.28,8.89,17.05
휴림에이텍,078590,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),별도(OFS),97.01,2.08,70.43,97.01,2.08,70.43
휴림에이텍,078590,2022,Q4,2022-FY_누적,사업보고서(FY누적),별도(OFS),435.39,25.89,97.34,127.86,13.64,6.14
휴림에이텍,078590,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),별도(OFS),123.06,10.93,11.25,123.06,10.93,11.25
휴림에이텍,078590,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),별도(OFS),119.63,4.83,2.16,119.63,4.83,2.16
휴림에이텍,078590,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),별도(OFS),138.97,5.80,29.28,138.97,5.80,29.28
휴림에이텍,078590,2023,Q4,2023-FY_누적,사업보고서(FY누적),별도(OFS),636.63,48.14,82.02,254.98,26.58,39.33
휴림에이텍,078590,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),별도(OFS),178.25,13.33,13.16,178.25,13.33,13.16
휴림에이텍,078590,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),별도(OFS),180.76,11.56,10.35,180.76,11.56,10.35
휴림에이텍,078590,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),별도(OFS),161.46,5.88,-2.60,161.46,5.88,-2.60
휴림에이텍,078590,2024,Q4,2024-FY_누적,사업보고서(FY누적),별도(OFS),703.17,39.82,45.98,182.70,9.06,25.07
휴림에이텍,078590,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),별도(OFS),166.01,6.83,13.04,166.01,6.83,13.04
휴림에이텍,078590,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),별도(OFS),166.16,1.25,14.61,166.16,1.25,14.61
휴림에이텍,078590,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),별도(OFS),148.72,-1.71,-34.14,148.72,-1.71,-34.14
휴림에이텍,078590,2025,Q4,2025-FY_누적,사업보고서(FY누적),별도(OFS),643.75,2.48,-111.22,162.86,-3.89,-104.73
휴림에이텍,078590,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),별도(OFS),158.31,-0.89,-11.81,158.31,-0.89,-11.81
대주전자재료,078600,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),459.94,50.86,49.87,459.94,50.86,49.87
대주전자재료,078600,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),502.60,46.41,39.88,502.60,46.41,39.88
대주전자재료,078600,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),525.38,48.70,44.21,525.38,48.70,44.21
대주전자재료,078600,2021,Q4,2021-FY_누적,사업보고서(FY누적),연결(CFS),1987.08,175.96,229.69,499.15,29.99,95.74
대주전자재료,078600,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),382.92,34.93,22.32,382.92,34.93,22.32
대주전자재료,078600,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),586.15,50.55,31.14,586.15,50.55,31.14
