종목명,종목코드,연도,분기,기간,보고서유형,재무기준,매출액(억원),영업이익(억원),당기순이익(억원),매출액_단독(억원),영업이익_단독(억원),당기순이익_단독(억원)
네오위즈홀딩스,042420,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),713.23,125.85,411.64,713.23,125.85,411.64
네오위즈홀딩스,042420,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),587.69,45.48,527.69,587.69,45.48,527.69
네오위즈홀딩스,042420,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),615.96,-20.84,-158.74,615.96,-20.84,-158.74
네오위즈홀딩스,042420,2021,Q4,2021-FY_누적,사업보고서(FY누적),연결(CFS),2693.22,193.81,1036.76,776.34,43.33,256.16
네오위즈홀딩스,042420,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),780.43,96.73,60.14,780.43,96.73,60.14
네오위즈홀딩스,042420,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),712.03,25.18,-206.86,712.03,25.18,-206.86
네오위즈홀딩스,042420,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),754.69,8.55,-33.62,754.69,8.55,-33.62
네오위즈홀딩스,042420,2022,Q4,2022-FY_누적,사업보고서(FY누적),연결(CFS),2979.77,70.05,-613.31,732.62,-60.41,-432.96
네오위즈홀딩스,042420,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),691.26,-14.59,96.29,691.26,-14.59,96.29
네오위즈홀딩스,042420,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),706.18,-69.79,127.47,706.18,-69.79,127.47
네오위즈홀딩스,042420,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),1178.18,182.96,144.97,1178.18,182.96,144.97
네오위즈홀딩스,042420,2023,Q4,2023-FY_누적,사업보고서(FY누적),연결(CFS),3665.85,173.78,375.33,1090.23,75.20,6.59
네오위즈홀딩스,042420,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),974.65,126.13,133.07,974.65,126.13,133.07
네오위즈홀딩스,042420,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),872.75,-3.09,-4.40,872.75,-3.09,-4.40
네오위즈홀딩스,042420,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),934.35,42.26,-71.76,934.35,42.26,-71.76
네오위즈홀딩스,042420,2024,Q4,2024-FY_누적,사업보고서(FY누적),연결(CFS),3680.58,204.12,-195.72,898.84,38.82,-252.63
네오위즈홀딩스,042420,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),893.04,84.71,36.99,893.04,84.71,36.99
네오위즈홀딩스,042420,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),1104.36,171.94,258.73,1104.36,171.94,258.73
네오위즈홀딩스,042420,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),1291.88,269.11,307.54,1291.88,269.11,307.54
네오위즈홀딩스,042420,2025,Q4,2025-FY_누적,사업보고서(FY누적),연결(CFS),4368.01,552.44,617.68,1078.74,26.68,14.41
네오위즈홀딩스,042420,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),1015.85,55.96,88.49,1015.85,55.96,88.49
링네트,042500,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),410.63,23.74,16.85,410.63,23.74,16.85
링네트,042500,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),636.65,30.57,30.89,636.65,30.57,30.89
링네트,042500,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),432.28,28.59,21.21,432.28,28.59,21.21
