종목명,종목코드,연도,분기,기간,보고서유형,재무기준,매출액(억원),영업이익(억원),당기순이익(억원),매출액_단독(억원),영업이익_단독(억원),당기순이익_단독(억원)
한국기업평가,034950,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),227.49,72.23,57.91,227.49,72.23,57.91
한국기업평가,034950,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),402.19,200.69,149.25,402.19,200.69,149.25
한국기업평가,034950,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),213.81,54.31,42.39,213.81,54.31,42.39
한국기업평가,034950,2021,Q4,2021-FY_누적,사업보고서(FY누적),연결(CFS),1045.20,362.19,267.50,201.71,34.95,17.95
한국기업평가,034950,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),226.89,61.86,49.57,226.89,61.86,49.57
한국기업평가,034950,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),405.19,197.32,148.13,405.19,197.32,148.13
한국기업평가,034950,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),212.85,49.06,41.85,212.85,49.06,41.85
한국기업평가,034950,2022,Q4,2022-FY_누적,사업보고서(FY누적),연결(CFS),1015.76,299.30,254.88,170.82,-8.95,15.34
한국기업평가,034950,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),190.64,10.23,11.69,190.64,10.23,11.69
한국기업평가,034950,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),384.52,187.07,157.09,384.52,187.07,157.09
한국기업평가,034950,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),189.57,27.76,29.25,189.57,27.76,29.25
한국기업평가,034950,2023,Q4,2023-FY_누적,사업보고서(FY누적),연결(CFS),955.94,258.40,241.71,191.21,33.34,43.69
한국기업평가,034950,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),206.25,35.38,34.80,206.25,35.38,34.80
한국기업평가,034950,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),389.45,188.02,154.11,389.45,188.02,154.11
한국기업평가,034950,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),228.08,57.88,54.52,228.08,57.88,54.52
한국기업평가,034950,2024,Q4,2024-FY_누적,사업보고서(FY누적),연결(CFS),1040.57,326.80,285.96,216.80,45.53,42.52
한국기업평가,034950,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),220.56,47.81,42.94,220.56,47.81,42.94
한국기업평가,034950,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),426.60,207.79,168.07,426.60,207.79,168.07
한국기업평가,034950,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),221.75,45.89,42.01,221.75,45.89,42.01
한국기업평가,034950,2025,Q4,2025-FY_누적,사업보고서(FY누적),연결(CFS),1097.81,343.40,293.80,228.89,41.91,40.78
한국기업평가,034950,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),226.84,47.13,46.96,226.84,47.13,46.96
그래디언트,035080,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),7935.56,-60.81,-62.36,7935.56,-60.81,-62.36
그래디언트,035080,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),8667.53,-23.82,39.55,8667.53,-23.82,39.55
그래디언트,035080,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),8509.24,-72.81,-72.73,8509.24,-72.81,-72.73
그래디언트,035080,2021,Q4,2021-FY_누적,사업보고서(FY누적),연결(CFS),31157.78,24.88,-45.93,6045.45,182.31,49.61
그래디언트,035080,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),8270.86,20.92,-137.82,8270.86,20.92,-137.82
그래디언트,035080,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),8584.27,41.23,3530.38,8584.27,41.23,3530.38
그래디언트,035080,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),9393.20,31.67,133.89,9393.20,31.67,133.89
그래디언트,035080,2022,Q4,2022-FY_누적,사업보고서(FY누적),연결(CFS),35848.46,145.81,3388.64,9600.13,51.99,-137.80
그래디언트,035080,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),8473.94,24.84,-26.56,8473.94,24.84,-26.56
그래디언트,035080,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),8421.92,15.61,88.63,8421.92,15.61,88.63
그래디언트,035080,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),8094.52,-0.29,-71.73,8094.52,-0.29,-71.73
그래디언트,035080,2023,Q4,2023-FY_누적,사업보고서(FY누적),연결(CFS),34238.67,29.10,-60.23,9248.28,-11.06,-50.58
그래디언트,035080,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),9018.33,4.87,20.23,9018.33,4.87,20.23
그래디언트,035080,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),8161.22,-23.29,-212.15,8161.22,-23.29,-212.15
그래디언트,035080,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),7838.87,-25.91,-27.52,7838.87,-25.91,-27.52
그래디언트,035080,2024,Q4,2024-FY_누적,사업보고서(FY누적),연결(CFS),33179.10,-55.13,-259.55,8160.68,-10.81,-40.11
그래디언트,035080,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),7489.39,-22.98,-71.40,7489.39,-22.98,-71.40
그래디언트,035080,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),7364.48,-72.69,32.85,7364.48,-72.69,32.85
그래디언트,035080,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),7649.59,-62.37,-53.50,7649.59,-62.37,-53.50
그래디언트,035080,2025,Q4,2025-FY_누적,사업보고서(FY누적),연결(CFS),30615.93,-295.81,-247.06,8112.47,-137.78,-155.01
그래디언트,035080,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),8432.84,58.15,48.65,8432.84,58.15,48.65
프럼파스트,035200,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),74.75,5.00,5.22,74.75,5.00,5.22
프럼파스트,035200,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),75.16,6.95,6.09,75.16,6.95,6.09
프럼파스트,035200,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),63.30,4.52,4.30,63.30,4.52,4.30
프럼파스트,035200,2021,Q4,2021-FY_누적,사업보고서(FY누적),연결(CFS),295.64,23.35,21.33,82.43,6.88,5.72
프럼파스트,035200,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),75.20,4.24,4.23,75.20,4.24,4.23
프럼파스트,035200,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),79.12,5.12,4.58,79.12,5.12,4.58
프럼파스트,035200,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),70.34,2.83,3.24,70.34,2.83,3.24
프럼파스트,035200,2022,Q4,2022-FY_누적,사업보고서(FY누적),연결(CFS),302.28,15.29,13.24,77.61,3.10,1.18
프럼파스트,035200,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),68.96,0.15,1.44,68.96,0.15,1.44
프럼파스트,035200,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),79.77,8.15,9.10,79.77,8.15,9.10
프럼파스트,035200,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),71.99,3.80,4.42,71.99,3.80,4.42
프럼파스트,035200,2023,Q4,2023-FY_누적,사업보고서(FY누적),연결(CFS),294.81,14.43,14.17,74.09,2.33,-0.79
프럼파스트,035200,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),64.03,3.17,3.94,64.03,3.17,3.94
프럼파스트,035200,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),76.42,6.78,6.69,76.42,6.78,6.69
프럼파스트,035200,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),71.23,2.69,3.44,71.23,2.69,3.44
프럼파스트,035200,2024,Q4,2024-FY_누적,사업보고서(FY누적),연결(CFS),296.60,16.24,19.18,84.92,3.60,5.12
프럼파스트,035200,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),65.77,0.70,1.39,65.77,0.70,1.39
프럼파스트,035200,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),67.13,0.44,1.84,67.13,0.44,1.84
프럼파스트,035200,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),60.20,-1.16,9.74,60.20,-1.16,9.74
프럼파스트,035200,2025,Q4,2025-FY_누적,사업보고서(FY누적),연결(CFS),252.31,-4.44,10.22,59.21,-4.41,-2.76
프럼파스트,035200,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),51.78,-3.31,-3.28,51.78,-3.31,-3.28
골드앤에스,035290,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),13.41,0.27,-4.85,13.41,0.27,-4.85
골드앤에스,035290,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),35.97,3.22,8.17,35.97,3.22,8.17
골드앤에스,035290,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),38.70,2.44,2.24,38.70,2.44,2.24
골드앤에스,035290,2021,Q4,2021-FY_누적,사업보고서(FY누적),연결(CFS),135.07,13.56,7.71,46.98,7.63,2.14
골드앤에스,035290,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),44.12,3.00,3.07,44.12,3.00,3.07
골드앤에스,035290,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),40.01,-6.46,-25.09,40.01,-6.46,-25.09
골드앤에스,035290,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),42.28,-3.99,-3.86,42.28,-3.99,-3.86
골드앤에스,035290,2022,Q4,2022-FY_누적,사업보고서(FY누적),연결(CFS),94.89,-11.44,-62.54,-31.52,-4.00,-36.66
골드앤에스,035290,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),별도(OFS),24.66,-9.69,-8.83,24.66,-9.69,-8.83
골드앤에스,035290,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),별도(OFS),26.76,1.64,2.96,26.76,1.64,2.96
골드앤에스,035290,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),별도(OFS),25.12,-2.85,-1.34,25.12,-2.85,-1.34
골드앤에스,035290,2023,Q4,2023-FY_누적,사업보고서(FY누적),별도(OFS),99.50,-13.66,-29.60,22.95,-2.76,-22.38
골드앤에스,035290,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),별도(OFS),28.83,-2.22,-1.20,28.83,-2.22,-1.20
골드앤에스,035290,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),별도(OFS),23.02,-1.78,-0.37,23.02,-1.78,-0.37
골드앤에스,035290,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),별도(OFS),22.75,-1.18,0.17,22.75,-1.18,0.17
골드앤에스,035290,2024,Q4,2024-FY_누적,사업보고서(FY누적),별도(OFS),95.94,-4.86,0.61,21.34,0.32,2.01
골드앤에스,035290,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),별도(OFS),22.05,-5.90,-4.65,22.05,-5.90,-4.65
골드앤에스,035290,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),별도(OFS),21.08,-4.27,-3.56,21.08,-4.27,-3.56
골드앤에스,035290,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),별도(OFS),24.87,-3.11,-2.15,24.87,-3.11,-2.15
골드앤에스,035290,2025,Q4,2025-FY_누적,사업보고서(FY누적),별도(OFS),90.20,-18.78,-14.74,22.20,-5.51,-4.38
골드앤에스,035290,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),별도(OFS),76.53,6.53,7.30,76.53,6.53,7.30
기산텔레콤,035460,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),70.76,-24.74,-24.92,70.76,-24.74,-24.92
기산텔레콤,035460,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),193.21,6.98,6.48,193.21,6.98,6.48
기산텔레콤,035460,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),118.37,-1.86,1.46,118.37,-1.86,1.46
기산텔레콤,035460,2021,Q4,2021-FY_누적,사업보고서(FY누적),연결(CFS),618.75,-9.93,-6.79,236.41,9.69,10.19
기산텔레콤,035460,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),43.70,-10.12,-9.91,43.70,-10.12,-9.91
기산텔레콤,035460,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),168.01,7.82,6.38,168.01,7.82,6.38
기산텔레콤,035460,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),161.37,8.27,17.01,161.37,8.27,17.01
기산텔레콤,035460,2022,Q4,2022-FY_누적,사업보고서(FY누적),연결(CFS),678.03,46.16,36.42,304.95,40.19,22.94
기산텔레콤,035460,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),150.27,24.47,27.08,150.27,24.47,27.08
기산텔레콤,035460,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),180.04,4.05,4.01,180.04,4.05,4.01
기산텔레콤,035460,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),131.76,-10.52,-9.23,131.76,-10.52,-9.23
기산텔레콤,035460,2023,Q4,2023-FY_누적,사업보고서(FY누적),연결(CFS),738.85,44.10,37.97,276.77,26.10,16.12
기산텔레콤,035460,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),113.52,-8.59,-7.20,113.52,-8.59,-7.20
기산텔레콤,035460,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),177.30,-18.81,-17.13,177.30,-18.81,-17.13
기산텔레콤,035460,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),234.82,-11.81,-18.49,234.82,-11.81,-18.49
기산텔레콤,035460,2024,Q4,2024-FY_누적,사업보고서(FY누적),연결(CFS),930.78,49.47,80.91,405.14,88.68,123.73
기산텔레콤,035460,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),181.75,3.78,2.60,181.75,3.78,2.60
기산텔레콤,035460,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),189.81,-19.93,-34.47,189.81,-19.93,-34.47
기산텔레콤,035460,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),207.42,36.17,42.54,207.42,36.17,42.54
기산텔레콤,035460,2025,Q4,2025-FY_누적,사업보고서(FY누적),연결(CFS),994.73,80.78,57.96,415.76,60.76,47.28
기산텔레콤,035460,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),178.37,31.36,40.58,178.37,31.36,40.58
KG이니시스,035600,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),2418.91,260.17,204.43,2418.91,260.17,204.43
KG이니시스,035600,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),2495.59,275.63,227.74,2495.59,275.63,227.74
KG이니시스,035600,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),2507.11,266.17,246.01,2507.11,266.17,246.01
KG이니시스,035600,2021,Q4,2021-FY_누적,사업보고서(FY누적),연결(CFS),10119.75,1066.47,620.90,2698.14,264.49,-57.28
KG이니시스,035600,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),2589.30,245.48,160.53,2589.30,245.48,160.53
KG이니시스,035600,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),2764.00,274.12,187.48,2764.00,274.12,187.48
KG이니시스,035600,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),3133.03,306.04,221.89,3133.03,306.04,221.89
KG이니시스,035600,2022,Q4,2022-FY_누적,사업보고서(FY누적),연결(CFS),11776.25,1065.12,703.73,3289.91,239.48,133.82
KG이니시스,035600,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),3236.06,229.36,182.47,3236.06,229.36,182.47
KG이니시스,035600,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),3205.72,259.31,282.63,3205.72,259.31,282.63
KG이니시스,035600,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),3471.26,293.35,209.20,3471.26,293.35,209.20
KG이니시스,035600,2023,Q4,2023-FY_누적,사업보고서(FY누적),연결(CFS),13447.92,1062.75,971.03,3534.89,280.73,296.72
KG이니시스,035600,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),3677.65,299.35,229.43,3677.65,299.35,229.43
KG이니시스,035600,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),3480.31,267.82,200.14,3480.31,267.82,200.14
KG이니시스,035600,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),3378.79,-49.88,-63.82,3378.79,-49.88,-63.82
KG이니시스,035600,2024,Q4,2024-FY_누적,사업보고서(FY누적),연결(CFS),13543.37,609.93,447.14,3006.61,92.64,81.39
KG이니시스,035600,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),3285.62,243.19,175.24,3285.62,243.19,175.24
KG이니시스,035600,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),3233.10,248.62,165.47,3233.10,248.62,165.47
KG이니시스,035600,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),3559.28,283.05,204.61,3559.28,283.05,204.61
KG이니시스,035600,2025,Q4,2025-FY_누적,사업보고서(FY누적),연결(CFS),13588.85,985.58,577.83,3510.84,210.73,32.52
KG이니시스,035600,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),3816.72,254.62,174.48,3816.72,254.62,174.48
솔본,035610,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),342.69,173.45,209.14,342.69,173.45,209.14
솔본,035610,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),174.99,4.32,21.40,174.99,4.32,21.40
솔본,035610,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),200.18,5.72,40.37,200.18,5.72,40.37
솔본,035610,2021,Q4,2021-FY_누적,사업보고서(FY누적),연결(CFS),1001.99,156.63,299.67,284.14,-26.85,28.77
솔본,035610,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),191.06,-16.50,-51.07,191.06,-16.50,-51.07
솔본,035610,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),204.12,-59.35,-138.97,204.12,-59.35,-138.97
솔본,035610,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),196.42,-13.52,24.14,196.42,-13.52,24.14
솔본,035610,2022,Q4,2022-FY_누적,사업보고서(FY누적),연결(CFS),938.16,-268.46,-419.17,346.57,-179.08,-253.26
솔본,035610,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),234.70,27.59,107.45,234.70,27.59,107.45
솔본,035610,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),278.26,81.27,149.61,278.26,81.27,149.61
솔본,035610,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),282.90,15.26,26.60,282.90,15.26,26.60
솔본,035610,2023,Q4,2023-FY_누적,사업보고서(FY누적),연결(CFS),1233.83,317.59,488.95,437.98,193.47,205.28
솔본,035610,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),258.92,6.14,141.02,258.92,6.14,141.02
솔본,035610,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),312.11,92.74,145.07,312.11,92.74,145.07
솔본,035610,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),273.20,52.93,43.93,273.20,52.93,43.93
솔본,035610,2024,Q4,2024-FY_누적,사업보고서(FY누적),연결(CFS),1160.81,211.74,543.50,316.58,59.93,213.48
솔본,035610,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),248.21,-59.66,-92.43,248.21,-59.66,-92.43
솔본,035610,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),401.79,217.81,205.37,401.79,217.81,205.37
솔본,035610,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),269.85,44.47,221.19,269.85,44.47,221.19
솔본,035610,2025,Q4,2025-FY_누적,사업보고서(FY누적),연결(CFS),1206.51,246.21,345.23,286.65,43.59,11.10
솔본,035610,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),353.01,36.30,82.46,353.01,36.30,82.46
바른손이앤에이,035620,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),,-7.52,-21.05,,-7.52,-21.05
바른손이앤에이,035620,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),,-6.64,94.76,,-6.64,94.76
바른손이앤에이,035620,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),20.25,-7.84,-13.40,20.25,-7.84,-13.40
바른손이앤에이,035620,2021,Q4,2021-FY_누적,사업보고서(FY누적),연결(CFS),,-13.22,85.34,,8.78,25.03
바른손이앤에이,035620,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),,-20.01,0.28,,-20.01,0.28
바른손이앤에이,035620,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),,-16.08,-26.19,,-16.08,-26.19
바른손이앤에이,035620,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),132.90,-10.57,-17.78,132.90,-10.57,-17.78
바른손이앤에이,035620,2022,Q4,2022-FY_누적,사업보고서(FY누적),연결(CFS),,-42.23,-133.19,,4.43,-89.51
바른손이앤에이,035620,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),,-15.14,-24.69,,-15.14,-24.69
바른손이앤에이,035620,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),,-10.76,-21.31,,-10.76,-21.31
바른손이앤에이,035620,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),29.51,-12.11,-25.69,29.51,-12.11,-25.69
바른손이앤에이,035620,2023,Q4,2023-FY_누적,사업보고서(FY누적),연결(CFS),,-48.24,-139.26,,-10.23,-67.58
바른손이앤에이,035620,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),,4.27,-4.42,,4.27,-4.42
바른손이앤에이,035620,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),21.44,1.61,-13.61,21.44,1.61,-13.61
바른손이앤에이,035620,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),19.83,-12.09,-30.86,19.83,-12.09,-30.86
바른손이앤에이,035620,2024,Q4,2024-FY_누적,사업보고서(FY누적),연결(CFS),94.89,-2.66,-51.75,,3.55,-2.87
바른손이앤에이,035620,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),44.35,2.25,5.19,44.35,2.25,5.19
바른손이앤에이,035620,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),23.72,0.32,-7.61,23.72,0.32,-7.61
바른손이앤에이,035620,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),9.67,-7.24,5.81,9.67,-7.24,5.81
바른손이앤에이,035620,2025,Q4,2025-FY_누적,사업보고서(FY누적),연결(CFS),116.04,-22.76,-68.93,38.30,-18.09,-72.33
바른손이앤에이,035620,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),23.03,-1.09,-1.09,23.03,-1.09,-1.09
CJ ENM,035760,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),7918.93,936.17,809.95,7918.93,936.17,809.95
CJ ENM,035760,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),9079.17,858.02,531.84,9079.17,858.02,531.84
CJ ENM,035760,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),8575.39,878.21,744.37,8575.39,878.21,744.37
CJ ENM,035760,2021,Q4,2021-FY_누적,사업보고서(FY누적),연결(CFS),35523.97,2968.76,2275.62,9950.48,296.36,189.46
CJ ENM,035760,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),9572.67,496.26,15.88,9572.67,496.26,15.88
CJ ENM,035760,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),11924.76,556.09,-249.81,11924.76,556.09,-249.81
