종목명,종목코드,연도,분기,기간,보고서유형,재무기준,매출액(억원),영업이익(억원),당기순이익(억원),매출액_단독(억원),영업이익_단독(억원),당기순이익_단독(억원)
플루토스,019570,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),,-88.46,,,-88.46,
플루토스,019570,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),,-73.29,,,-73.29,
플루토스,019570,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),,145.34,,,145.34,
플루토스,019570,2021,Q4,2021-FY_누적,사업보고서(FY누적),연결(CFS),,17.33,,,33.74,
플루토스,019570,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),,-91.24,,,-91.24,
플루토스,019570,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),,-19.59,,,-19.59,
플루토스,019570,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),,,,,,,
플루토스,019570,2022,Q4,2022-FY_누적,사업보고서(FY누적),연결(CFS),,-172.69,,,,
플루토스,019570,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),,-64.22,,,-64.22,
플루토스,019570,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),,15.55,,,15.55,
플루토스,019570,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),,-8.58,,,-8.58,
플루토스,019570,2023,Q4,2023-FY_누적,사업보고서(FY누적),연결(CFS),,-103.14,,,-45.89,
플루토스,019570,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),,-6.85,,,-6.85,
플루토스,019570,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),,47.84,,,47.84,
플루토스,019570,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),5.53,-29.51,,5.53,-29.51,
플루토스,019570,2024,Q4,2024-FY_누적,사업보고서(FY누적),연결(CFS),103.38,12.74,,,1.27,
플루토스,019570,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),,-3.16,,,-3.16,
플루토스,019570,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),,9.96,,,9.96,
플루토스,019570,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),,11.68,,,11.68,
플루토스,019570,2025,Q4,2025-FY_누적,사업보고서(FY누적),연결(CFS),,33.13,,,14.66,
플루토스,019570,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),,-30.51,,,-30.51,
