종목명,종목코드,연도,분기,기간,보고서유형,재무기준,매출액(억원),영업이익(억원),당기순이익(억원),매출액_단독(억원),영업이익_단독(억원),당기순이익_단독(억원)
아이톡시,052770,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),13.02,-7.64,-8.42,13.02,-7.64,-8.42
아이톡시,052770,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),7.47,-29.36,-38.93,7.47,-29.36,-38.93
아이톡시,052770,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),38.43,4.52,0.61,38.43,4.52,0.61
아이톡시,052770,2021,Q4,2021-FY_누적,사업보고서(FY누적),연결(CFS),116.63,-52.67,-78.33,57.71,-20.18,-31.60
아이톡시,052770,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),75.70,-8.92,-9.18,75.70,-8.92,-9.18
아이톡시,052770,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),64.62,-12.38,-17.74,64.62,-12.38,-17.74
아이톡시,052770,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),51.83,16.45,9.86,51.83,16.45,9.86
아이톡시,052770,2022,Q4,2022-FY_누적,사업보고서(FY누적),연결(CFS),281.39,7.18,-4.07,89.23,12.03,12.98
아이톡시,052770,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),110.63,19.90,19.04,110.63,19.90,19.04
아이톡시,052770,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),별도(OFS),56.42,-12.93,-12.26,56.42,-12.93,-12.26
아이톡시,052770,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),27.83,-18.34,-16.95,27.83,-18.34,-16.95
아이톡시,052770,2023,Q4,2023-FY_누적,사업보고서(FY누적),연결(CFS),216.46,-43.96,-44.26,21.58,-32.59,-34.08
아이톡시,052770,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),34.53,-16.81,-17.10,34.53,-16.81,-17.10
아이톡시,052770,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),55.96,-15.83,-15.85,55.96,-15.83,-15.85
아이톡시,052770,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),44.14,-34.07,-32.59,44.14,-34.07,-32.59
아이톡시,052770,2024,Q4,2024-FY_누적,사업보고서(FY누적),연결(CFS),171.74,-118.49,-168.48,37.10,-51.78,-102.94
아이톡시,052770,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),25.89,-27.41,-27.58,25.89,-27.41,-27.58
아이톡시,052770,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),64.11,,32.55,64.11,,32.55
아이톡시,052770,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),7.09,,14.39,7.09,,14.39
아이톡시,052770,2025,Q4,2025-FY_누적,사업보고서(FY누적),별도(OFS),57.04,-49.26,-72.84,-40.05,,-92.20
아이톡시,052770,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),별도(OFS),9.64,-4.63,-3.92,9.64,-4.63,-3.92
액토즈소프트,052790,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),138.73,67.78,125.97,138.73,67.78,125.97
액토즈소프트,052790,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),176.33,73.90,115.94,176.33,73.90,115.94
액토즈소프트,052790,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),129.77,53.36,67.54,129.77,53.36,67.54
