종목명,종목코드,연도,분기,기간,보고서유형,재무기준,매출액(억원),영업이익(억원),당기순이익(억원),매출액_단독(억원),영업이익_단독(억원),당기순이익_단독(억원)
HLB제약,047920,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),별도(OFS),136.87,0.06,-33.08,136.87,0.06,-33.08
HLB제약,047920,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),별도(OFS),144.53,1.75,-55.02,144.53,1.75,-55.02
HLB제약,047920,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),별도(OFS),171.08,11.66,-59.98,171.08,11.66,-59.98
HLB제약,047920,2021,Q4,2021-FY_누적,사업보고서(FY누적),별도(OFS),628.53,4.86,-132.26,176.05,-8.61,15.82
HLB제약,047920,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),별도(OFS),200.75,-20.84,-33.28,200.75,-20.84,-33.28
HLB제약,047920,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),별도(OFS),221.80,-2.87,-19.61,221.80,-2.87,-19.61
HLB제약,047920,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),별도(OFS),251.11,-18.00,-43.90,251.11,-18.00,-43.90
HLB제약,047920,2022,Q4,2022-FY_누적,사업보고서(FY누적),별도(OFS),1074.82,-64.36,-117.77,401.16,-22.65,-20.98
HLB제약,047920,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),별도(OFS),323.97,6.53,7.06,323.97,6.53,7.06
HLB제약,047920,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),별도(OFS),352.06,-85.48,-176.81,352.06,-85.48,-176.81
HLB제약,047920,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),별도(OFS),346.36,-76.08,-76.42,346.36,-76.08,-76.42
HLB제약,047920,2023,Q4,2023-FY_누적,사업보고서(FY누적),별도(OFS),1359.53,-195.42,-194.27,337.14,-40.39,51.89
HLB제약,047920,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),별도(OFS),334.52,12.16,-16.09,334.52,12.16,-16.09
HLB제약,047920,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),별도(OFS),357.73,6.34,4.96,357.73,6.34,4.96
HLB제약,047920,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),별도(OFS),347.67,8.55,9.48,347.67,8.55,9.48
HLB제약,047920,2024,Q4,2024-FY_누적,사업보고서(FY누적),별도(OFS),1370.82,14.74,20.20,330.90,-12.31,21.84
HLB제약,047920,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),별도(OFS),346.46,19.86,15.68,346.46,19.86,15.68
HLB제약,047920,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),469.19,-17.92,9.10,469.19,-17.92,9.10
HLB제약,047920,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),605.93,0.34,-1.61,605.93,0.34,-1.61
HLB제약,047920,2025,Q4,2025-FY_누적,사업보고서(FY누적),연결(CFS),2055.82,10.64,45.72,634.23,8.35,22.54
HLB제약,047920,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),656.52,10.32,7.20,656.52,10.32,7.20
현대바이오,048410,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),19.53,-19.30,-20.15,19.53,-19.30,-20.15
현대바이오,048410,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),23.05,-17.78,-19.31,23.05,-17.78,-19.31
현대바이오,048410,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),24.63,-19.68,-25.92,24.63,-19.68,-25.92
현대바이오,048410,2021,Q4,2021-FY_누적,사업보고서(FY누적),연결(CFS),92.41,-97.70,-200.51,25.21,-40.94,-135.13
현대바이오,048410,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),23.43,-25.02,-21.34,23.43,-25.02,-21.34
현대바이오,048410,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),14.13,-56.90,-58.83,14.13,-56.90,-58.83
현대바이오,048410,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),23.83,-72.63,33.56,23.83,-72.63,33.56
현대바이오,048410,2022,Q4,2022-FY_누적,사업보고서(FY누적),연결(CFS),78.52,-263.54,-158.07,17.13,-109.00,-111.46
현대바이오,048410,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),31.62,-22.96,-20.97,31.62,-22.96,-20.97
현대바이오,048410,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),32.22,-19.59,-23.37,32.22,-19.59,-23.37
현대바이오,048410,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),19.63,-20.16,-19.79,19.63,-20.16,-19.79
현대바이오,048410,2023,Q4,2023-FY_누적,사업보고서(FY누적),연결(CFS),94.81,-97.85,-144.99,11.34,-35.15,-80.86
현대바이오,048410,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),50.50,12.20,11.85,50.50,12.20,11.85
현대바이오,048410,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),91.76,56.88,15.76,91.76,56.88,15.76
현대바이오,048410,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),4.59,-33.15,-51.28,4.59,-33.15,-51.28
현대바이오,048410,2024,Q4,2024-FY_누적,사업보고서(FY누적),연결(CFS),150.50,7.91,-69.30,3.66,-28.02,-45.63
현대바이오,048410,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),7.09,-42.83,-61.39,7.09,-42.83,-61.39
현대바이오,048410,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),3.33,-48.19,-42.53,3.33,-48.19,-42.53
현대바이오,048410,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),5.53,-46.20,-69.97,5.53,-46.20,-69.97
현대바이오,048410,2025,Q4,2025-FY_누적,사업보고서(FY누적),연결(CFS),35.17,-181.61,-221.28,19.23,-44.40,-47.39
현대바이오,048410,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),3.25,-46.65,-53.13,3.25,-46.65,-53.13
유라테크,048430,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),476.25,9.44,14.59,476.25,9.44,14.59
유라테크,048430,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),465.54,7.05,1.98,465.54,7.05,1.98
유라테크,048430,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),421.60,1.84,7.86,421.60,1.84,7.86
유라테크,048430,2021,Q4,2021-FY_누적,사업보고서(FY누적),연결(CFS),1842.69,11.43,27.20,479.30,-6.90,2.78
유라테크,048430,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),457.78,-1.28,8.40,457.78,-1.28,8.40
유라테크,048430,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),448.53,-5.23,-6.88,448.53,-5.23,-6.88
유라테크,048430,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),475.72,-3.60,5.97,475.72,-3.60,5.97
유라테크,048430,2022,Q4,2022-FY_누적,사업보고서(FY누적),연결(CFS),1900.72,-4.39,8.66,518.69,5.72,1.17
유라테크,048430,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),513.16,8.70,15.04,513.16,8.70,15.04
유라테크,048430,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),537.26,19.17,96.21,537.26,19.17,96.21
유라테크,048430,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),505.01,14.48,20.04,505.01,14.48,20.04
유라테크,048430,2023,Q4,2023-FY_누적,사업보고서(FY누적),연결(CFS),2097.04,60.32,172.63,541.61,17.97,41.35
유라테크,048430,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),511.88,25.00,26.99,511.88,25.00,26.99
유라테크,048430,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),485.44,29.97,32.57,485.44,29.97,32.57
유라테크,048430,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),474.24,21.98,31.10,474.24,21.98,31.10
유라테크,048430,2024,Q4,2024-FY_누적,사업보고서(FY누적),연결(CFS),2013.50,105.06,133.58,541.95,28.12,42.92
유라테크,048430,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),499.54,13.59,26.51,499.54,13.59,26.51
유라테크,048430,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),491.01,11.59,38.35,491.01,11.59,38.35
유라테크,048430,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),502.66,-1.80,29.65,502.66,-1.80,29.65
유라테크,048430,2025,Q4,2025-FY_누적,사업보고서(FY누적),연결(CFS),1972.54,18.14,110.36,479.33,-5.23,15.85
유라테크,048430,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),487.62,-17.98,4.82,487.62,-17.98,4.82
대동스틸,048470,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),별도(OFS),319.96,44.04,38.23,319.96,44.04,38.23
대동스틸,048470,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),별도(OFS),444.67,90.67,71.53,444.67,90.67,71.53
대동스틸,048470,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),별도(OFS),403.03,54.59,43.83,403.03,54.59,43.83
대동스틸,048470,2021,Q4,2021-FY_누적,사업보고서(FY누적),별도(OFS),1654.16,175.83,145.18,486.50,-13.47,-8.41
대동스틸,048470,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),별도(OFS),453.37,17.96,15.16,453.37,17.96,15.16
대동스틸,048470,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),별도(OFS),456.63,-30.15,-23.44,456.63,-30.15,-23.44
대동스틸,048470,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),별도(OFS),562.73,-46.12,-45.54,562.73,-46.12,-45.54
대동스틸,048470,2022,Q4,2022-FY_누적,사업보고서(FY누적),별도(OFS),1824.53,-60.81,-45.92,351.79,-2.50,7.90
대동스틸,048470,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),별도(OFS),331.34,5.03,7.95,331.34,5.03,7.95
