종목명,종목코드,연도,분기,기간,보고서유형,재무기준,매출액(억원),영업이익(억원),당기순이익(억원),매출액_단독(억원),영업이익_단독(억원),당기순이익_단독(억원)
멕아이씨에스,058110,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),85.63,9.62,7.57,85.63,9.62,7.57
멕아이씨에스,058110,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),215.24,89.05,66.43,215.24,89.05,66.43
멕아이씨에스,058110,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독),연결(CFS),125.01,21.53,18.56,125.01,21.53,18.56
멕아이씨에스,058110,2021,Q4,2021-FY_누적,사업보고서(FY누적),연결(CFS),492.96,106.43,90.80,67.08,-13.77,-1.75
멕아이씨에스,058110,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독),연결(CFS),96.59,12.72,9.87,96.59,12.72,9.87
멕아이씨에스,058110,2022,Q2,2022-Q2_단독,반기보고서(Q2단독),연결(CFS),114.18,19.43,14.09,114.18,19.43,14.09
멕아이씨에스,058110,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독),연결(CFS),54.58,-24.73,-18.86,54.58,-24.73,-18.86
멕아이씨에스,058110,2022,Q4,2022-FY_누적,사업보고서(FY누적),연결(CFS),287.54,-17.69,-28.35,22.20,-25.10,-33.45
멕아이씨에스,058110,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),42.02,-22.16,-23.92,42.02,-22.16,-23.92
멕아이씨에스,058110,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),18.42,-52.32,-62.16,18.42,-52.32,-62.16
멕아이씨에스,058110,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),36.10,-23.09,-21.89,36.10,-23.09,-21.89
멕아이씨에스,058110,2023,Q4,2023-FY_누적,사업보고서(FY누적),연결(CFS),132.61,-138.74,-162.71,36.08,-41.16,-54.73
멕아이씨에스,058110,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),연결(CFS),29.18,-16.73,-19.01,29.18,-16.73,-19.01
멕아이씨에스,058110,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),31.62,-12.81,-17.26,31.62,-12.81,-17.26
멕아이씨에스,058110,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),16.51,-23.59,-23.89,16.51,-23.59,-23.89
멕아이씨에스,058110,2024,Q4,2024-FY_누적,사업보고서(FY누적),연결(CFS),113.69,-94.92,-102.90,36.38,-41.79,-42.74
멕아이씨에스,058110,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),29.09,-10.63,-11.23,29.09,-10.63,-11.23
멕아이씨에스,058110,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),23.65,-16.89,-17.37,23.65,-16.89,-17.37
멕아이씨에스,058110,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),27.84,-2.98,-1.80,27.84,-2.98,-1.80
멕아이씨에스,058110,2025,Q4,2025-FY_누적,사업보고서(FY누적),연결(CFS),112.88,-27.87,-27.04,32.30,2.63,3.36
멕아이씨에스,058110,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),38.80,3.66,6.77,38.80,3.66,6.77
KNN,058400,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독),연결(CFS),118.34,12.58,9.19,118.34,12.58,9.19
KNN,058400,2021,Q2,2021-Q2_단독,반기보고서(Q2단독),연결(CFS),158.20,34.55,39.22,158.20,34.55,39.22
